tool,hash,profile,cache_mode,iteration,user_sec,system_sec,cpu_pct,wall_raw,wall_sec,max_rss_kb,vol_ctx,invol_ctx
dskDitto,sha256,ssd,warm,1,25.11,195.09,726.01,30.33,30.330000,795983872,3116073,5020695
fclones,sha256,ssd,warm,1,85.11,182.39,761.89,35.11,35.110000,546832384,1604179,5337020
